자동 생성 STT 원문 — 미검증 · 편집하지 않음

video_id       full_xekZO4n4QuE
00:06:24.2 → 00:06:24.5  고춧가루
00:06:26.6 → 00:06:28.0  설탕
00:06:28.0 → 00:06:28.1  참기름
00:06:30.7 → 00:06:32.1  설탕
00:06:32.1 → 00:06:32.7  양념을 하자
00:06:32.7 → 00:06:39.3  담은 고추장
00:06:39.3 → 00:06:41.3  물을 끓인다
00:06:54.8 → 00:06:56.2  스위트
00:06:59.0 → 00:07:00.4  화장실
00:07:00.4 → 00:07:00.5  뀨
00:07:22.5 → 00:07:24.5  예방접종 서비스로 시원하게 먹으려구요
00:07:37.3 → 00:07:39.8  grinder 액젓
00:07:39.8 → 00:07:40.4  코리아
00:07:40.4 → 00:07:40.5  칼집
00:07:40.5 → 00:07:42.0  칼집
00:07:42.0 → 00:07:42.8  칼집
00:07:46.1 → 00:07:47.3  에어프라이
00:07:47.3 → 00:07:47.9  에어프라이
00:07:47.9 → 00:07:48.0  깻잎
00:07:48.0 → 00:07:48.5  깻잎
00:07:48.5 → 00:07:49.1  우유
00:07:54.3 → 00:07:57.3  소금과 후추를 넣고 끓여줍니다
00:08:19.1 → 00:08:22.3  소금과 후추를 넣고 끓여줍니다
00:08:30.1 → 00:08:34.6  제가 여태까지 동대문에서 구독자님을 만나뵌 적은 없거든요.
00:08:34.9 → 00:08:37.9  왠지 오늘 만나뵐 수도 있지 않을까 싶어서
00:08:37.9 → 00:08:40.0  이 파우치 하나 챙겨서 다녀오려고요.
00:09:05.1 → 00:09:08.3  동대문 휴가 전에 한번 다녀왔었는데
00:09:08.8 → 00:09:11.4  그때는 몸 회복이 덜 돼서 촬영을 거의 안 했거든요
00:09:12.0 → 00:09:15.6  오늘은 컨디션도 좋고 여기저기 좀 다녀보고 싶어서
00:09:15.6 → 00:09:18.3  광장시장 지나서 종합시장 갔다가
00:09:18.3 → 00:09:20.4  동묘까지 한번 돌아보고 오려고요
00:09:22.7 → 00:09:27.6  지금은 9시이고 오늘은 급한 걸 좀 끝내서 여유가 있거든요
00:09:28.1 → 00:09:32.1  동대문에서는 원단 픽업 하나만 하고 동네로 넘어가서 구경하다가
00:09:32.1 → 00:09:36.0  제가 진짜 좋아하는 냉면집이 있어서 그것도 포장해서 들어오려고요
00:09:36.7 → 00:09:40.6  오늘 옷은 전에 언박싱했던 거 드디어 입고 다녀올게요
00:10:09.8 → 00:10:11.2  패티 스테이크
00:10:11.2 → 00:10:11.3  스테이크에 쭈욱
00:10:11.3 → 00:10:11.9  쭈욱
00:10:16.2 → 00:10:17.6  쭈욱
00:10:17.6 → 00:10:17.7  툭
00:10:17.7 → 00:10:18.5  툭
00:10:21.7 → 00:10:23.0  툭
00:10:38.2 → 00:10:41.0  치즈 소스
00:10:43.1 → 00:10:44.5  대파
00:10:44.5 → 00:10:46.0  참기름
00:10:46.6 → 00:10:46.8  감자
00:10:46.8 → 00:10:46.9  소금
00:10:59.3 → 00:11:00.7  참기름
00:11:04.9 → 00:11:06.3  양파
00:11:14.2 → 00:11:15.7  오늘 날씨 진짜 좋다
00:11:16.4 → 00:11:17.5  날씨 너무 좋아
00:11:43.8 → 00:11:44.2  별이 없지
00:11:54.3 → 00:11:55.9  인정기 잡은거 있나요?
00:11:55.9 → 00:11:56.5  하나 같아요
00:11:56.5 → 00:11:59.0  그럼 찹쌀떡 ASL
00:11:59.0 → 00:11:59.3  알까봐
00:12:01.6 → 00:12:02.7  땡
00:12:05.7 → 00:12:06.8  감사합니다
00:12:06.8 → 00:12:09.3  몇 개짜리 사진
00:12:26.6 → 00:12:28.0  오징어튀김
00:12:28.0 → 00:12:33.1  진짜 맛있다
00:12:46.3 → 00:12:47.3  이렇게 띠지
00:12:54.2 → 00:12:56.0  케이크 띠지도 있나요?
00:12:56.1 → 00:12:57.5  가격은 여기 있으니까 보시고
00:12:57.5 → 00:12:58.5  샘플 두께 이정도니까
00:12:59.5 → 00:13:00.1  앉아보시고 고르시면 되요
00:13:03.8 → 00:13:04.7  케이크는
00:13:04.7 → 00:13:05.6  이렇게
00:13:15.3 → 00:13:16.2  이렇게
00:13:20.8 → 00:13:22.8  여름 proclaim
00:13:25.1 → 00:13:27.3  오늘의 디저트는
00:13:27.3 → 00:13:27.9  correr 슬라이스
00:13:32.5 → 00:13:33.9  슬라이스는
00:13:33.9 → 00:13:34.6  아이스크림
00:13:34.6 → 00:13:34.6  멕시코에서
00:13:34.6 → 00:13:35.1  슬라이스
00:13:35.1 → 00:13:35.7  랩
00:13:44.8 → 00:13:46.2  에어컨
00:13:49.0 → 00:13:50.1  매장에 있어요?
00:13:51.2 → 00:13:52.8  거주만큼 40% 있어요
00:13:54.1 → 00:13:55.7  1여드만 가져올게요
00:14:00.1 → 00:14:03.8  여기 옷이 잘못 기재가 될 수 있거든요
00:14:04.4 → 00:14:08.8  이거는 가져가세요
00:14:08.8 → 00:14:09.2  감사합니다
00:14:25.6 → 00:14:28.5  원단 시장에서 일을 다 받고
00:14:28.5 → 00:14:30.7  원단 시장에서 일을 다 받고
00:14:43.1 → 00:14:45.4  원단 시장에서 일을 다 받고
00:14:45.4 → 00:14:52.7  지금은 12시 18분 이에요 이제 점심 먹을 시간이라서 여기서 좀만 더 가면 반마리 치킨을 파는 데가 있거든요
00:14:53.4 → 00:14:54.5  그거 먹으러 가볼게요
00:15:29.1 → 00:15:30.5  모듬과자 시키기
00:15:30.5 → 00:15:32.7  막걸리
00:15:32.7 → 00:15:34.1  소금
00:15:34.1 → 00:15:34.1  간장
00:15:36.2 → 00:15:37.6  쌀가루
00:15:37.6 → 00:15:38.0  설탕
00:15:38.0 → 00:15:41.2  찐득 찐득
00:15:48.8 → 00:15:50.2  후추
00:16:24.3 → 00:16:26.0  고맙습니다. 안녕히 계세요.
00:16:27.2 → 00:16:28.0  고맙습니다.
00:17:16.4 → 00:17:20.0  마포구청 인터넷 방송국 홈페이지
00:17:26.1 → 00:17:27.7  아이콘을 꺼내고,
00:17:27.7 → 00:17:29.0  고기도 뺐어요.
00:17:29.7 → 00:17:31.8  그리고 한 번 더
00:17:31.8 → 00:17:32.2  아메리카노도 덮고
00:17:32.2 → 00:17:33.5  아이콘을 덮고
00:17:33.5 → 00:17:36.0  치즈스틱을 덮고
00:18:05.2 → 00:18:06.8  못 먹을까봐 그래
00:18:25.4 → 00:18:27.7  사장님 이거 하나 주세요
00:18:27.7 → 00:18:28.2  네
00:18:28.2 → 00:18:30.4  조카 선물하려고
00:18:30.4 → 00:18:31.9  얘가 더 이쁜 것 같아요
00:18:31.9 → 00:18:32.1  그래요?
00:18:36.7 → 00:18:40.5  아 이게 뭐예요 아 말랑이 말랑이 먹는 거 아니고
00:18:40.5 → 00:18:41.2  감사합니다
00:18:53.4 → 00:18:55.5  사장님 여기요
00:18:55.5 → 00:18:56.8  3,000원
00:19:11.0 → 00:19:11.4  야, 먹을건데
00:19:11.4 → 00:19:20.7  와, 엄청나
00:19:22.1 → 00:19:22.7  죄송해
00:19:25.7 → 00:19:26.6  물성 ON 타
00:19:26.6 → 00:19:27.1  야
00:19:45.6 → 00:19:47.0  저녁먹고 브로콜리도 남고
00:19:47.0 → 00:19:47.2  안녕하세요
00:19:47.2 → 00:19:48.5  안녕하세요
00:19:48.5 → 00:19:51.1  저 떡볶이
00:19:51.1 → 00:19:52.3  6,000원짜리 하나랑
00:19:52.3 → 00:19:53.7  팥땅수 하나 먹고 갈게요
00:19:53.7 → 00:19:55.6  7,000원 Harteman
00:19:58.4 → 00:20:02.1  오늘의 메뉴는 팥땡수입니다.
00:20:03.4 → 00:20:04.4  순두부
00:20:04.4 → 00:20:06.2  튀겨서 그런지 정말 맛있었어요
00:20:06.2 → 00:20:08.5  또렷한 빵
00:20:08.5 → 00:20:09.0  구워요
00:20:12.3 → 00:20:13.1  전복
00:20:21.3 → 00:20:22.7  차돌박이
00:20:26.6 → 00:20:27.3  전복
00:20:28.0 → 00:20:29.3  전복
00:20:29.3 → 00:20:29.5  전복
00:20:40.9 → 00:20:42.3  전복
00:20:46.3 → 00:20:47.8  밥을 주문했어요
00:20:55.4 → 00:20:56.5  잘 먹었습니다
00:20:56.5 → 00:20:59.1  잘 올려주세요
00:20:59.1 → 00:21:01.0  아 네
00:21:01.0 → 00:21:03.8  사람 진짜 많다
00:21:03.8 → 00:21:04.5  터널인데
00:21:05.4 → 00:21:06.1  밥물
00:21:08.2 → 00:21:09.8  다리 아파
00:21:14.0 → 00:21:15.9  돼지 맛이지?
00:21:18.9 → 00:21:20.0  맛있어 돼지
00:21:24.1 → 00:21:25.5  아이스
00:21:43.6 → 00:21:47.7  그리하여 서로가 확실한 모습을 보여준다.
00:22:12.0 → 00:22:13.9  냉커피 하나 주세요
00:22:20.9 → 00:22:22.3  맥주
00:22:37.7 → 00:22:39.1  생크림
00:22:44.9 → 00:22:46.3  샤워기
00:22:46.3 → 00:22:47.5  계란후라이
00:22:47.5 → 00:22:48.0  고춧가루
00:22:48.0 → 00:22:49.3  고추장
00:22:49.3 → 00:22:49.7  고춧가루
00:22:49.7 → 00:22:49.7  고춧가루
00:22:49.7 → 00:22:51.9  고춧가루
00:22:51.9 → 00:22:52.6  고춧가루
00:22:56.2 → 00:22:57.6  고춧가루
00:22:57.6 → 00:22:59.3  고춧가루
00:22:59.3 → 00:23:01.6  고춧가루
00:23:01.6 → 00:23:03.6  고춧가루
00:23:12.1 → 00:23:13.7  면 얼마나 삶아요?
00:23:13.7 → 00:23:14.8  햄버거 크림만에 30초
00:23:14.8 → 00:23:15.9  30초? 감사합니다
00:23:15.9 → 00:23:17.6  네, 금방 나왔네요
00:23:19.8 → 00:23:22.3  냉면도 포장해서 갑니다
00:23:44.5 → 00:23:45.8  고춧가루
00:23:45.8 → 00:23:46.3  고춧가루
00:23:47.7 → 00:23:47.8  고춧가루
00:23:49.7 → 00:23:50.1  고춧가루
00:23:50.1 → 00:23:50.9  고춧가루
00:23:57.0 → 00:23:58.3  고춧가루
00:23:58.3 → 00:24:00.8  지금은 4시 반 목요일이고
00:24:00.8 → 00:24:04.4  제가 내일모레 토요일에 베이킹을 할까 하거든요
00:24:04.4 → 00:24:07.4  그래서 편의점에서 제일 저렴한 화이트와인이랑
00:24:07.4 → 00:24:09.4  물복, 딱복도 사와봤어요
00:24:09.4 → 00:24:12.4  역시 이번에도 구독자님을 못 빼긴 했는데
00:24:12.4 → 00:24:13.9  근데 차라리 잘 된 것 같아요.
00:24:14.0 → 00:24:18.0  종이로 포장을 했더니 가방 안에서 진짜 너덜너덜해져서
00:24:18.8 → 00:24:21.3  포장 개선이 조금 필요할 것 같더라고요.
00:24:21.7 → 00:24:25.7  창신동 왕구 거리에서 말랑이랑 왁뽀볼 이런 것도 사왔거든요.
00:24:33.3 → 00:24:37.2  저 초등학생 때 학교에 곰방구해서 이런 불량식품들을 많이 팔았거든요.
00:24:37.5 → 00:24:39.3  이 아폴로는 종종 봤었는데
00:24:39.3 → 00:24:42.6  근데 이 사탕팔찌랑 이거 아실까요?
00:24:42.8 → 00:24:44.0  저 이거 진짜 좋아했거든요
00:24:44.9 → 00:24:46.5  빨간색으로 한번 먹어봐야겠다
00:24:48.6 → 00:24:51.1  제가 먹던 거랑 같은 맛이 날진 모르겠는데
00:24:51.9 → 00:24:54.5  예전에는 이것보다 테이프가 두꺼웠었던 거 같거든요
00:24:55.1 → 00:24:56.2  먹는 테이프라고
00:24:57.2 → 00:24:59.7  돌돌 말려 있어서 풀어먹는 재미가 있었거든요
00:25:03.2 → 00:25:05.1  어릴 때는 이게 되게 달콤했던 기억이 있는데
00:25:05.1 → 00:25:08.0  지금 먹어보니까 특별히 달거나 그러진 않네요
00:25:08.0 → 00:25:10.8  밥솥에 밥풀 마른 거? 먹는 느낌이에요
00:25:16.6 → 00:25:20.6  조카가 왁부볼이랑 말랑이 갖고 싶다고 했던 게 기억나서
00:25:20.6 → 00:25:21.8  이렇게 두 개 사봤고
00:25:22.9 → 00:25:24.3  미니말랑이라고 하는데
00:25:26.3 → 00:25:27.2  강아지다
00:25:31.9 → 00:25:34.4  저는 이 도넛 왁부 하나 해볼게요
00:25:35.4 → 00:25:36.3  신기하다
00:25:43.8 → 00:25:45.2  엥?
00:25:46.7 → 00:25:48.0  오!
00:25:55.0 → 00:25:55.6  오 이상해
00:25:55.6 → 00:25:57.2  이거 맞아?
00:25:59.5 → 00:26:01.9  근데 이거 날카로운데?
00:26:06.7 → 00:26:08.1  스트레스...
00:26:12.0 → 00:26:13.8  ㅎㅎㅎ 이게 뭐람?
00:26:15.8 → 00:26:18.5  확실히 조카 거를 작은 걸 산 게 잘한 것 같아요
00:26:19.1 → 00:26:24.0  얘는 크기가 커서 그런가 코팅이 굉장히 강해서 엄청 날카롭거든요?
00:26:24.4 → 00:26:25.6  다칠 것 같아
00:26:43.6 → 00:26:47.3  그리고 동묘에 낙산냉면이라고 있는데
00:26:47.3 → 00:26:50.3  제가 오래전에 매장에서 직접 먹어봤었거든요
00:26:50.3 → 00:26:52.6  여기 냉면이 되게 특색이 있는데
00:26:52.6 → 00:26:54.4  오이가 진짜 많이 들어가서
00:26:54.4 → 00:26:56.7  개운하고 매콤해서 너무 맛있어요
00:26:57.6 → 00:26:58.8  포장은 처음 해봤는데
00:26:58.8 → 00:27:00.8  계란이랑 이렇게 채 써놓은
00:27:00.8 → 00:27:03.0  육수랑 익히지 않은 면까지 있거든요
00:27:03.6 → 00:27:06.3  육수는 미지근해져서 냉동실에 넣어두고
00:27:06.3 → 00:27:08.6  좀 쉬다가 씻고 저녁 준비해볼게요
00:27:33.6 → 00:27:37.2  오늘 동료 돌아다니면서 보는데
00:27:37.2 → 00:27:41.0  어르신들이 추전이랑 막걸리를 그렇게 맛있게 드시더라고요
00:27:41.0 → 00:27:45.0  원래 냉면에 만두 먹을까 하다가 파전 부쳐먹으려고
00:27:48.3 → 00:27:50.9  용주를 사용한건일뻔했네요
00:28:08.0 → 00:28:10.8  레인보우 흑돼지
00:28:10.8 → 00:28:11.3  은행
00:28:11.3 → 00:28:11.7  매실청
00:28:11.7 → 00:28:12.7  설탕
00:28:16.5 → 00:28:18.4  설탕
00:28:18.4 → 00:28:18.8  당근
00:28:18.8 → 00:28:19.2  마늘
00:28:19.2 → 00:28:22.4  다진마늘
00:28:26.3 → 00:28:28.5  다진마늘
00:28:31.2 → 00:28:32.6  다진 마늘
00:28:30.5 → 00:28:31.6  고추
00:28:31.6 → 00:28:33.4  고추장
00:28:33.4 → 00:28:34.2  다진마늘
00:28:34.2 → 00:28:35.9  다진마늘
00:28:35.7 → 00:28:37.1  양파
00:28:37.1 → 00:28:38.6  소금
00:28:42.7 → 00:28:44.1  후추
00:28:44.1 → 00:28:44.6  참기름
00:28:45.4 → 00:28:45.8  후추
00:28:48.6 → 00:28:49.3  고춧가루
00:28:50.6 → 00:28:51.9  간장
00:28:52.6 → 00:28:53.5  다진마늘
00:28:53.5 → 00:28:53.8  후추
00:28:57.5 → 00:28:58.9  간장
00:28:58.9 → 00:29:00.6  간장
00:29:22.7 → 00:29:27.4  요즘 점심이 너무 맛있어서
00:29:27.4 → 00:29:29.5  오늘 라면이 너무 맛있어서
00:29:29.5 → 00:29:30.5  이 라면이 가장 맛있어서
00:29:30.5 → 00:29:32.0  맥주
00:29:32.0 → 00:29:34.2  스팸
00:29:34.2 → 00:29:35.8  고추
00:29:40.2 → 00:29:41.6  쌀떡
00:29:41.6 → 00:29:42.4  해서
00:29:42.4 → 00:29:42.8  멸치
00:29:42.8 → 00:29:44.1  다진마늘
00:29:44.1 → 00:29:44.4  후추
00:29:44.4 → 00:29:44.9  간장
00:29:44.9 → 00:29:44.9  모듬
00:29:44.9 → 00:29:45.1  참기름
00:29:45.1 → 00:29:45.7  다진마늘
00:29:45.7 → 00:29:46.9  소금
00:29:54.7 → 00:29:56.1  후추
00:29:56.1 → 00:29:56.8  간장
00:29:56.8 → 00:29:56.9  예전에
00:29:59.6 → 00:30:01.4  안녕하세요 여러분
00:30:06.0 → 00:30:07.4  잘 먹었습니다.
00:30:19.5 → 00:30:22.3  1시간 정도 굽는 중
00:30:22.3 → 00:30:23.6  식용유는 조금 느끼한 편
00:30:23.6 → 00:30:29.4  대충 1시간 정도 굽는 중
00:30:29.4 → 00:30:32.1  2시간 정도 굽는 중
00:31:13.2 → 00:31:14.6  고춧가루
00:31:17.0 → 00:31:18.4  설탕
00:31:21.2 → 00:31:22.6  참깨
00:31:22.6 → 00:31:24.0  함께 제거해올거다!
00:31:26.9 → 00:31:27.9  오늘의 메뉴는
00:31:27.9 → 00:31:28.8  킬바사 가루
00:31:28.8 → 00:31:30.2  사과
00:31:30.2 → 00:31:30.6  소금
00:31:34.9 → 00:31:35.7  설탕
00:31:35.7 → 00:31:36.0  고추
00:31:36.0 → 00:31:38.0  다진마늘
00:32:00.1 → 00:32:04.6  제가 오늘을 위해서 안 가고 있던 이 핸드믹서기 언박싱 하고
00:32:04.6 → 00:32:07.1  제가 다음 주에 대전을 놀러 가거든요.
00:32:07.2 → 00:32:11.0  드디어 성심당 케이크를 먹어볼 수 있을 것 같아서 기대가 큰데
00:32:11.0 → 00:32:15.4  뭔가 그 감동을 그대로 느껴보고 싶은데 비교 대상이 없잖아요.
00:32:15.4 → 00:32:21.2  그래서 제가 성심당 아니고 성실당 케이크 만들어서 한번 미리 먹어보고
00:32:21.2 → 00:32:23.8  대전가서 또 케이크 먹어보려구요
00:32:25.5 → 00:32:26.6  반짝반짝
00:32:56.6 → 00:32:58.3  전원이 안 들어와요
00:33:06.3 → 00:33:10.6  아무리 해도 전원이 안 들어와요
00:33:16.1 → 00:33:17.5  왜 안될까요?
00:34:20.8 → 00:34:22.2  계란후라이
00:34:40.3 → 00:34:42.1  완전 잘 나온 것 같아요
00:34:42.9 → 00:34:45.8  이번에 시작부터 느낌이 안 좋아서 걱정했는데
00:34:45.8 → 00:34:47.5  진짜 완전 잘 나온 것 같아요
00:34:47.5 → 00:34:48.3  너무 좋아
00:34:54.2 → 00:34:55.6  와
00:34:58.7 → 00:35:00.1  와
00:35:24.5 → 00:35:25.9  돼지김가루
00:35:31.0 → 00:35:31.6  양파
00:35:34.0 → 00:35:35.4  고추장
00:35:35.4 → 00:35:35.4  간장
00:35:40.5 → 00:35:40.7  고춧가루
00:35:46.7 → 00:35:48.1  고춧가루
00:35:58.9 → 00:36:02.2  젠호아즈는 빵 껍데기 먹는 맛도 있는 것 같아요
00:36:02.2 → 00:36:03.6  이게 제일 맛있긴 하거든요
00:36:04.6 → 00:36:05.2  맛있다
00:36:06.8 → 00:36:08.2  한입에 한입
00:36:08.2 → 00:36:10.2  한입에 한입
00:36:11.2 → 00:36:12.3  한입
00:36:12.3 → 00:36:13.0  한입
00:36:13.0 → 00:36:13.2  한입
00:36:14.7 → 00:36:15.9  한입
00:36:15.9 → 00:36:16.2  한입
00:36:16.2 → 00:36:16.2  한입
00:36:17.7 → 00:36:18.9  한입
00:36:18.9 → 00:36:19.2  한입
00:36:19.7 → 00:36:20.1  한입
00:36:20.1 → 00:36:20.7  한입
00:36:20.7 → 00:36:21.6  한입
00:36:21.6 → 00:36:21.8  한입
00:36:21.8 → 00:36:22.5  한입
00:36:26.4 → 00:36:27.6  한입
00:36:38.5 → 00:36:39.9  양갈비
00:36:39.9 → 00:36:41.0  양념
00:36:41.0 → 00:36:41.6  고추
00:36:41.6 → 00:36:41.8  정글
00:36:44.2 → 00:36:44.6  양념
00:36:44.6 → 00:36:44.6  간장
00:36:48.6 → 00:36:49.0  고춧가루
00:36:49.0 → 00:36:49.1  간장
00:36:49.1 → 00:36:51.0  고춧가루
00:36:57.4 → 00:36:59.0  그릇에 넣어.
00:37:04.9 → 00:37:09.3  여기까지 넣어주면 완성!!
00:37:09.3 → 00:37:11.9  다음은 면!
00:37:25.6 → 00:37:26.0  모짜렐라 치즈
00:37:26.0 → 00:37:30.3  올리브 오일
00:37:30.3 → 00:37:30.5  치즈
00:37:30.5 → 00:37:30.5  치즈
00:37:30.5 → 00:37:30.5  치즈
00:37:35.1 → 00:37:36.5  이렇게
00:38:10.7 → 00:38:13.5  가득 채워두고
00:38:13.5 → 00:38:16.1  드디어 잔치국수가 완성되네요
00:38:30.8 → 00:38:33.0  복숭아가 3개 들어갔거든요?
00:38:33.3 → 00:38:37.4  케이크가 한 손으로 들기 어려워서 엄청 무거워요
00:38:54.4 → 00:38:56.6  아 진짜 먹었다
00:38:56.6 → 00:38:59.4  대전 가면 케이크 두 개는 사오려고 했거든요
00:38:59.4 → 00:39:02.0  근데 한 개가 최대일 것 같아요
00:39:38.3 → 00:39:41.2  이번엔 콜라로 마실게요
00:39:41.2 → 00:39:42.3  그리고 또 마실게
00:39:47.5 → 00:39:49.4  너무 맛있다
00:40:16.2 → 00:40:17.4  다음 영상에서 만나요.
